"Swargarani School And P U Collage, Bangalore",,Bangalore
"Tattva School, Bangalore",,Bangalore
"TCIS, Bangalore",,Bangalore
"The Brigade School, Bangalore",,Bangalore
"The Cambridge International School, Bangalore",,Bangalore
"The Oxford English School, Bangalore",,Bangalore
"The Regency Public School, Bangalore",,Bangalore
"The Samhita Academy, Bangalore",,Bangalore
"Venkat International Public School, Bangalore ",,Bangalore
"Venus International School, Bangalore",,Bangalore
"Vidyanjali Academy For Learning, Bangalore",,Bangalore
"Whitefield Global School, Bangalore",,Bangalore
"Woodridge, Bangalore",,Bangalore
"Infant Jesus School, Bangarapet",,Bangarapet
"Bankura Zilla School, Bankura",,Bankura
"Shamayita Convent, Bankura ",,Bankura
"Sibdas Central Girls High School, Bankura",,Bankura
"Central Academy Senior Secondary School, Barabanki",,Barabanki
"Classic Public High School, Baramulla",,Baramulla
"Auxilium Convent School, Barasat",,Barasat
"Burdwan Town School, Bardhaman",,Bardhaman
"Galsi High School, Bardhaman",,Bardhaman
"Holy Child School, Bardhaman",,Bardhaman
"Monteswar Ramkrishna Sarada Siksha, Bardhaman",,Bardhaman
"Narayana School, Bardhaman",,Bardhaman
"St Xavier's School, Bardhaman",,Bardhaman
"St. Joseph's English Medium, Bardhaman",,Bardhaman
"Delhi Public School Bareilly, Bareilly",,Bareilly
"GRM School, Bareilly",,Bareilly
"Hartmann College, Bareilly",,Bareilly
"Sacred Heart Senior Secondary Public School, Bareilly",,Bareilly
"St. Francis Convent School, Bareilly",,Bareilly
"Paradise Kids Academy, Barmer",,Barmer
"Bholananda National Vidyalaya, Barrackpore",,Barrackpore
"Gems Cambridge School, Batala",,Batala
"Army Public School Bhatinda, Bhatinda",,Bathinda
"At.Xaviers High School, Bathinda",,Bathinda
"Gems Public School, Bathinda ",,Bathinda
"St Joseph Convent School, Bathinda",,Bathinda
"Kerala Public School Jatrawas, Bawal ",,Bawal
"G.S.S.S Bawani Khera, Bawani Khera",,Bawani Khera
"St. ANNS School, Beed",,Beed
